bioguide id,name,state,role,education
B001325,Sheri Biggs,South Carolina,Representative,"graduated from Carolina Bible College, Anderson, S.C.; D.N.P., Samford University, Homewood, Ala."
T000480,William R. Timmons IV,South Carolina,Representative,"graduated from Christ Church Episcopal School, Greenville, S.C., 2002; B.A., The George Washington University, Washington, D.C., 2006; M.A., University of South Carolina, Columbia, S.C., 2009; J.D., University of South Carolina, Columbia, S.C., 2010; M.S., New York University, New York, N.Y., 2021; South Carolina Air National Guard, 2018-present"
N000190,Ralph Norman,South Carolina,Representative,"B.S., Presbyterian College, Clinton, S.C., 1975"
C000537,James E. Clyburn,South Carolina,Representative,"graduated from Mather Academy, Camden, S.C., 1957; B.A., South Carolina State University, Orangeburg, S.C., 1961"
F000478,Russell Fry,South Carolina,Representative,"B.A., University of South Carolina, Columbia, S.C., 2007; J.D., Charleston School of Law, Charleston, S.C., 2011"
T000250,John Thune,South Dakota,Senator,"B.S., Biola University, La Mirada, Calif., 1983; M.B.A., University of South Dakota, Vermillion, S. Dak., 1984"
R000605,Mike Rounds,South Dakota,Senator,"B.S., South Dakota State University, 1977"
J000301,Dusty Johnson,South Dakota,Representative,"B.A., University of South Dakota, Vermillion, S.Dak., 1999; M.P.A., University of Kansas, Lawrence, Kans., 2002; staff, Governor Mike Rounds of South Dakota, 2003-2005; member of the South Dakota public utilities commission, 2004-2011; staff, Governor Dennis Daugaard of South Dakota, 2011-2014"
H000601,Bill Hagerty,Tennessee,Senator,"B.A., Vanderbilt University, 1981; J.D., Vanderbilt University, 1984"
B001243,Marsha Blackburn,Tennessee,Senator,"B.S. Mississippi State University, Starkville, Miss., 1973"
H001086,Diana Harshbarger,Tennessee,Representative,"attended East Tennessee State University, Johnson City, Tenn.; Pharm.D, Mercer University, Atlanta, Ga., 1987"
B001309,Tim Burchett,Tennessee,Representative,"B.S., University of Tennessee, Knoxville, Tenn., 1988"
F000459,"Charles J. ""Chuck"" Fleischmann",Tennessee,Representative,"B.A., University of Illinois, Urbana-Champaign, Ill., 1983; J.D., University of Tennessee, Knoxville, Tenn., 1986"
D000616,Scott DesJarlais,Tennessee,Representative,"B.S., University of South Dakota, Vermillion, S.Dak., 1987; M.D., University of South Dakota, Vermillion, S.Dak., 1991"
O000175,Andrew Ogles,Tennessee,Representative,"B.S., Middle Tennessee State University, Murfreesboro, Tenn., 2007"
R000612,John W. Rose,Tennessee,Representative,"B.S., Tennessee Tech University, Cookeville, Tenn., 1988; M.S., Purdue University, West Lafayette, Ind., 1990; J.D., Vanderbilt University, Nashville, Tenn., 1993"
V000139,Matt Van Epps,Tennessee,Representative,"graduated from United States Military Academy, West Point, N.Y., 2005; M.P.A., University of North Carolina, Chapel Hill, N.C, 2019"
K000392,David Kustoff,Tennessee,Representative,"B.B.A., University of Memphis, Memphis, Tenn., 1989; J.D., University of Memphis, Memphis, Tenn., 1992"
C001068,Steve Cohen,Tennessee,Representative,"attended Polytechnic School, Pasadena, Calif., 1964-1966; B.A., Vanderbilt University, Nashville, Tenn., 1971; J.D., University of Memphis, Memphis, Tenn., 1973; attorney, Memphis Police Department, 1975-1978"
C001056,John Cornyn,Texas,Senator,"B.A., Trinity University 1973; J.D., St. Mary's School of Law 1977; LLM, University of Virginia 1995"
C001098,Ted Cruz,Texas,Senator,"graduated Princeton University, B.A., 1992; graduated Harvard University, J.D., 1995"
M001224,Nathaniel Moran,Texas,Representative,"attended the United States Military Academy, West Point, N.Y.; B.A., Texas Tech University, Lubbock, Tex., 1997; M.B.A., Texas Tech University, Lubbock, Tex., 1998; J.D., Texas Tech University, Lubbock, Tex., 2002"
C001120,Dan Crenshaw,Texas,Representative,"B.A., Tufts University, Medford, Mass., 2006; M.P.A., Harvard University, Cambridge, Mass., 2017; United States Navy, 2006-2016"
S001224,Keith Self,Texas,Representative,"B.S., United States Military Academy, West Point, N.Y., 1975; M.A., University of Southern California, Los Angeles, Calif., 1981; attended the United States Army Command and General Staff College, Leavenworth, Kans.; United States Army, 1975-1999, 2002-2003"
F000246,Pat Fallon,Texas,Representative,"attended the University of Massachusetts, Amherst, Mass.; B.A., University of Notre Dame, Notre Dame, Ind., 1990; United States Air Force, 1990-1994"
G000589,Lance Gooden,Texas,Representative,"B.A., University of Texas, Austin, Tex., 2004; B.B.A., University of Texas, Austin, Tex., 2004"
E000071,Jake Ellzey,Texas,Representative,"B.S., United States Naval Academy, Annapolis, Md., 1992; United States Navy, 1992-2012"
F000468,Lizzie Fletcher,Texas,Representative,"graduated from St. John's School, Houston, Tex., 1993; B.A., Kenyon College, Gambier, Ohio; 1997; J.D., College of William & Mary, Williamsburg, Va., 2006"
L000603,Morgan Luttrell,Texas,Representative,"B.S., Sam Houston State University, Huntsville, Tex., 2000; M.S., University of Texas at Dallas, Richardson, Tex., 2016; attended Harvard University, Cambridge Mass.; United States Navy, 2000-2014"
G000553,Al Green,Texas,Representative,"attended Florida A&M University, Tallahassee, Fla., 1966-1971; attended Tuskegee University, Tuskegee, Ala.; J.D., Texas Southern University, Houston, Tex., 1974"
M001157,Michael T. McCaul,Texas,Representative,"graduated from Jesuit College Preparatory School, Dallas, Tex., 1980; B.S., Trinity University, San Antonio, Tex., 1984; J.D., St. Mary's University, San Antonio, Tex., 1987"
P000048,August Pfluger,Texas,Representative,"B.S., United States Air Force Academy, Colorado Springs, Colo., 2000; M.S.A., Embry-Riddle Aeronautical University, Daytona Beach, Fla., 2007; M.S., Air University, Montgomery, Ala., 2012; M.A., Georgetown University, Washington, D.C., 2019"
G000601,Craig A. Goldman,Texas,Representative,"graduated from Trinity Valley School, Fort Worth, Tex., 1987; B.A., University of Texas at Austin, Austin, Tex., 1991"
J000304,Ronny Jackson,Texas,Representative,"A.S., South Plains College, Levelland, Tex., 1988; B.S., Texas Agricultural and Mechanical University, Galveston, Tex., 1991; M.D., University of Texas Medical Branch, Galveston, Tex., 1995; United States Navy Reserve, 1991-1995; United States Navy, 1995-2019, rear admiral; physician, White House Medical Unit, 2006-2018; Physician to the President, 2013-2018"
W000814,"Randy K. Weber, Sr.",Texas,Representative,"attended Alvin Community College in Alvin, Tex., 1971-1974; B.S., University of Houston-Clear Lake, Houston, Tex., 1977"
D000594,Monica De La Cruz,Texas,Representative,"B.B.A., University of Texas, San Antonio, Tex., 1997"
E000299,Veronica Escobar,Texas,Representative,"B.A., University of Texas at El Paso, El Paso, Tex., 1991; M.A., New York University, New York, N.Y., 1993; college professor"
S000250,Pete Sessions,Texas,Representative,"B.S., Southwestern University, Georgetown, Tex., 1978"
M001245,Christian D. Menefee,Texas,Representative,"B.B.A, University of Texas, San Antonio, Tex., 2010; J.D., Washington University School of Law, St. Louis, Mo., 2013"
A000375,Jodey C. Arrington,Texas,Representative,"B.A., Texas Tech University, Lubbock, Tex., 1994; M.A., Texas Tech University, Lubbock, Tex., 1997; special assistant to President George W. Bush, 2001; staff, chairman of the Federal Deposit Insurance Corporation, 2001-2005"
C001091,Joaquin Castro,Texas,Representative,"B.A., Stanford University, Stanford, Calif., 1996; J.D., Harvard University, Cambridge, Mass., 2000"
R000614,Chip Roy,Texas,Representative,"B.S., University of Virginia, Charlottesville, Va., 1994; M.S., University of Virginia, Charlottesville, Va., 1995; J.D., University of Texas, Austin, Tex., 2003"
N000026,Troy E. Nehls,Texas,Representative,"B.A., Liberty University, Lynchburg, Va.; M.S., University of Houston-Downtown, Houston, Tex."
V000134,Beth Van Duyne,Texas,Representative,"graduated from the Greenhill School, Addison, Tex., 1988; B.A., Cornell University, Ithaca, N.Y., 1995"
